材料号,合同号,入口厚度,入厚上跳,入厚下跳,入口宽度,宽反值3(a3),宽跳上限(a4),退火温度,温度上跳,温度下跳,退火曲线,分区,物料标签,宽反标记,分类代码,销售品种代码,合同属性(IPS),适配辊,对应辊,宽反值1(a1),宽反值2(a2),入口重量,物料属性,分选度,出钢记号,出口厚度,出口宽度,切边,分卷数,下道机组,均温最小,均温最大,周,交货期,距DL天数,计划量,欠量,表面结构,粗糙度,粗糙度最小值,粗糙度最大值,订货重量上限,订货重量下限,订货重,平整率,涂油种类,涂油量,牌号（钢级）,包装方式代码,入口内径,用户,中文用途,钢级代码,产线族,材料组别,补充号,集批代码,后处理,返修类型,返修机组,新试号,工序特殊要求,合同加工途径,产品最终用途码,紧急标记,紧急合同标记,厂别区分,库号,超投比例标记,材料强度等级,BACKLOG工序位,制造命令号,上工序生产时刻,出口重量,入口外径,入口材料类型,出口外径,出口长度,出口材料重范围标记,计划确定标记,结束生产时刻,计划工序代码,入口长度,入口材料号校验,全程工序途径码,全程工序代码,全程工序顺序号,计划分类,返修标记,牌号标准,后全程工序代码,后全程工序顺序号,成品工序标记,计划生产时间,开始生产时刻,合同拖期标记,预计划路径,关联计划号,前材料号,BACKLOG工序值,产品规范码,材料回退标记,镀层种类,上表面镀层重量,下表面镀层重量,平整方式,保护气体种类代码,订货宽度,优化标记,出口卷号,运输方式代码,粗糙度代码,终到站港代码,终到站港描述,委托控货标志,留料标志,高优先级标记,已排程标记,入口材料号,合同性质代码
21131721700 ,M1B0004452,1.003,1.303,0.703,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.23,999,3,AP1055E5,1,1250,1,0,D208,0,0,Y,20211024,-2,0,132.18,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,厦门ABB低压电器设备有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z03,,,9,21158526,2.0211E+13,16,1993,1,0,0,,,,,2842,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01J103,,1,40,40,,,1250,,,水路运输,,36200002,泉州安海东石港, ,0,0,0,,QZA
21131145500 ,M1B0004141,2.007,2.507,1.507,1223,250,300,830,851,809,U83, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,4,4,17.73,999,3,DP0161D1,1.99,1219,0,0,D208,0,0,Y,20210930,-16,0,16.21,5,1,0.1,2,15.01,10,15.01,1.4, ,1,DC51D+Z-MD,x6,610,广东美的电器股份有限公司,普通白色家电内板加工,MI27CMDQC04,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z05,,,9,21156564,2.0211E+13,15.01,1642,1,0,0,,,,,923,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXYM2016-006,9A,6,0,,,,,,,,MDY6Y3J006,,1,40,40,,,1219,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131310100 ,M1B0004175,0.979,1.279,0.679,1253,250,300,840,861,819,U84, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,3,3,26.79,999,3,DT0145D1,0.99,1250,0,0,D208,0,0,Y,20210930,-16,0,35.95,5,1,0.1,2,9.01,6,9.01,0.6, ,C3,DC53D+Z-MD,1n,610,广东美的电器股份有限公司,普通白色家电内板加工,MI27IFGQC07,,BE0,0,999,11, , , ,,D00A000BR00000000,MJ00, , ,,Z05,,,9,21157870,2.0211E+13,9.01,1955,1,0,0,,,,,2790,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXYM2016-006,9A,6,0,,,,,,,,MDY6YAB006,,1,60,60,,,1250,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131044500 ,M1B0004189,1.474,1.874,1.074,1289,250,300,840,861,819,U84, ,,N,8,M0,GI-内板,1.7/2.0/2.5/3.0,,4,4,21.9,999,3,DT0145D1,1.485,1285,0,0,D208,0,0,Y,20210930,-16,0,31.95,5,1,0.1,2,15.01,10,15.01,0.6, ,1,DC53D+Z-MD,x6,610,广东美的电器股份有限公司,白色家电外板加工_表面要求,MI27IFGQC00,,BE0,A,999,0, , , ,,D00A000BR000000V0,MK05, , ,,Z04,,,9,21157486,2.0211E+13,0,1762,1,0,0,,,,,1472,,14ADDAHBIRPV9A9B9C9D,IR,5,,0,BXYM2016-006,PV,6,0,,,,,,,,MDY6Y5C006,,1,70,70,,,1285,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131554800 ,M1B0004189,1.474,1.874,1.074,1289,250,300,840,861,819,U84, ,,N,8,M0,GI-内板,1.7/2.0/2.5/3.0,,4,4,21.62,999,3,DT0145D1,1.485,1285,0,0,D208,0,0,Y,20210930,-16,0,31.95,5,1,0.1,2,15.01,10,15.01,0.6, ,1,DC53D+Z-MD,x6,610,广东美的电器股份有限公司,白色家电外板加工_表面要求,MI27IFGQC00,,BE0,A,999,0, , , ,,D00A000BR000000V0,MK05, , ,,Z04,,,9,21158010,2.0211E+13,0,1754,1,0,0,,,,,1451,,14ADDAHBIRPV9A9B9C9D,IR,5,,0,BXYM2016-006,PV,6,0,,,,,,,,MDY6Y5C006,,1,70,70,,,1285,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131649000 ,M1B0004199,0.786,1.086,0.586,1211,250,300,840,861,819,U84, ,,N,8,M0,GI-内板,1.7/2.0/2.5/3.0,,3,3,20.16,999,3,DT0145D1,0.792,1208,0,0,D208,0,0,Y,20210930,-16,0,7.401,5,1,0.1,2,15.01,10,15.01,0.6, ,1,DC53D+Z-MD,x6,610,广东美的电器股份有限公司,空调面板加工_成型要求,MI27IFGQC07,,BE0,A,999,0, , , ,,D00A000BR000000V0,MK3H, , ,,Z04,,,9,21158014,2.0211E+13,0,1751,1,0,0,,,,,2699,,14ADDAHBIRPV9A9B9C9D,IR,5,,0,BXYM2016-006,PV,6,0,,,,,,,,MDY6Y5J006,,1,40,40,,,1208,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131152500 ,M1B0004347,1.495,1.895,1.095,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,25.23,999,3,AP1055E5,1.485,1250,1,0,D208,0,0,Y,20211020,-6,0,96.42,5,1,0.1,2,15.01,10,15.01,1.4, ,C2,BDG1+Z,w8,610,广东合固五金精密制造有限公司,五金配件_表面要求,MI27CMDQC11,,BE0,0,999,11, , , ,,D00A000BR00000000,MW05, , ,,Z05,,,9,21156814,2.0211E+13,15.01,1898,1,0,0,,,,,1698,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXZM2016-009,9A,6,0,,,,,,,,MDY6Y1J009,,1,40,40,,,1250,,,水路运输,,S4400086,揭阳津榕物流码头, ,0,0,0,,QZA
21131059800 ,M1B0004385,1.185,1.485,0.885,1003,250,300,820,841,799,U82, ,,N,8,M0,GI-内板,1.7/2.0/2.5/3.0,,3,3,13.82,999,3,DT0144D1,1.188,1000,0,0,D208,0,0,C,20211031,5,0,13.792,5,1,0.1,2,16,10,16,0.7, ,7,DC52D+Z-MD,x6,610,广东美的电器股份有限公司,普通白色家电内板加工,MI27IFEQC00,,BE0,0,999,0, , , ,,D00A000BR00000000,MJ00, , ,,Z05,,,9,21155912,2.0211E+13,16,1613,1,0,0,,,,,1486,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXYM2016-006,9A,6,0,,,,,,,,MDY6Y4J006,,1,40,40,,,1000,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131657500 ,M1B0004391,1.504,2.004,1.104,1235,250,300,790,811,769,U79, ,,N,1,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,20.75,999,3,AP1055E5,1.5,1219,1,0,D208,0,0,Y,20211031,15,0,17.29,5,1,0.1,2,16,10,16,1.4, ,1,DC51D+Z,w8,610,金羚电器有限公司,白色家电外板加工_表面要求,MI27CMCQC09,,BE0,0,999,11, , , ,,D00A000BR00000000,MK05, , ,,Z04,,,9,21158388,2.0211E+13,16,1751,1,0,0,,,,,1425,,14ADDAHBIR9A9B9C9D,IR,5,,0,Q/BQB 420,9A,6,0,,,,,,,,MDAA01B101,,1,60,60,,,1219,,,水路运输,,52800022,佛山九江南鲲码头, ,0,0,0,,QZA
21131704400 ,M1B0004347,1.495,1.895,1.095,1266,250,300,790,811,769,U79, ,,N,8,M0,GI-内板钝化,1.7/2.0/2.5/3.0,,16,16,28.17,999,3,AP1055E5,1.485,1250,1,0,D208,0,0,Y,20211020,-6,0,96.42,5,1,0.1,2,15.01,10,15.01,1.4, ,C2,BDG1+Z,w8,610,广东合固五金精密制造有限公司,五金配件_表面要求,MI27CMDQC11,,BE0,0,999,11, , , ,,D00A000BR00000000,MW05, , ,,Z05,,,9,21158526,2.0211E+13,15.01,1985,1,0,0,,,,,1898,,14ADDAHBIR9A9B9C9D,IR,5,,0,BXZM2016-009,9A,6,0,,,,,,,,MDY6Y1J009,,1,40,40,,,1250,,,水路运输,,S4400086,揭阳津榕物流码头, ,0,0,0,,QZA
